id,host_id,host_is_superhost,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cancellation_policy,review_scores_rating,price
24813550,183644632,0,13,8,2,1,1,1,1,3,80,483
1303113,6547841,0,2,8,2,1,1,1,1,1,70,980
1302948,6547841,0,2,8,2,1,1,2,1,1,60,711
24784905,183644632,0,13,8,2,1,1,1,1,3,60,577
28832764,212972379,0,9,8,2,1,1,2,1,3,60,289
28920473,214630481,0,9,8,2,1,1,1,1,3,50,188
7339907,38451522,0,8,9,4,1,1,2,1,3,100,1080
8556955,45042391,0,4,9,2,3,1,1,1,1,100,396
8583648,42113508,0,1,9,3,1,2,3,1,1,100,497
8994944,22312255,0,1,9,1,1,1,1,4,2,100,201
9453516,41440505,0,8,9,1,1,1,1,5,3,100,121
11978990,25663183,0,7,9,2,1,1,1,1,2,100,181
13021778,20342743,1,1,9,2,1.5,1,1,1,3,100,1040
13033555,72042957,1,1,9,2,2,1,1,1,2,100,201
13793038,15041492,0,1,9,2,1.5,1,1,1,2,100,1382
13854447,81834442,0,1,9,5,1,1,4,5,3,100,121
13962955,25663183,0,7,9,2,1,1,1,1,2,100,201
14491889,1819532,0,2,9,3,1,1,1,1,2,100,302
14675263,83053005,1,8,9,5,2,2,2,1,3,100,503
14874789,93235148,0,8,9,2,1,1,1,1,2,100,275
16018186,52845414,0,8,9,2,2,1,1,1,2,100,389
16397485,43986556,1,10,9,4,2,6,6,1,1,100,1201
17050300,85198058,1,9,9,6,1,2,4,1,1,100,986
17463552,25320887,0,4,9,2,1,1,2,1,3,100,181
17564075,63180266,0,8,9,4,2,2,2,1,2,100,342
17618929,116239159,0,2,9,4,1,2,2,1,2,100,349
17965735,123375250,0,9,9,4,1,2,2,1,2,100,597
17966937,123375250,0,9,9,4,1,2,2,1,2,100,799
18310094,115116989,0,4,9,4,3,1,6,1,1,100,141
18500482,116915690,0,1,9,3,1,1,1,1,2,100,396
18694263,88116509,1,5,9,2,2,1,1,1,2,100,188
19283052,106578263,0,1,9,2,1,1,2,1,3,100,396
19284068,106578263,0,1,9,2,3,1,1,1,3,100,322
19441290,136316523,0,1,9,2,1,1,1,1,3,100,154
19626425,134955874,0,1,9,6,1,2,3,1,3,100,490
